train/mean_ep_reward,stability/std_episode_reward,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/std_ep_reward,stability/avg_episode_reward,train/mean_ep_length,eval/success_rate,timesteps,rollout/success_rate,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/std,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/learning_rate
-1.4643126,0.18925190413847884,50.0,103424,-1.65,0.18925190413847884,-1.4643126,50.0,1.0,103424,,,,,,,0.9441441297531128,-0.0062185005663195625,-5.446748211979866,0.4145260453224182,0.003630732564488426,0.1080322265625,0.008777183,0.2,-0.07122186571359634,100,0.0001
-1.6375606999999999,0.14915050788183726,50.0,104448,-1.6,0.14915050788183726,-1.6375606999999999,50.0,1.0,104448,,,,,,,,,,,,,,,,,
-1.6281846000000002,0.09130803643404012,50.0,105472,-1.6,0.09130803643404012,-1.6281846000000002,50.0,1.0,105472,,,,,,,,,,,,,,,,,
-1.6915491,0.2077025407184274,50.0,106496,-1.3,0.2077025407184274,-1.6915491,50.0,1.0,106496,,,,,,,,,,,,,,,,,
,,,106496,,,,,,,0.9300000071525574,50.0,176,-1.6081753799999998,26,601,,,,,,,,,,,
-1.6751966,0.16046949448988737,50.0,107520,-1.7,0.16046949448988737,-1.6751966,50.0,1.0,107520,,,,,,,0.9413001537322998,-0.00665896205464378,-5.43487460911274,0.3185774087905884,0.0037162027510930784,0.10552978515625,0.009560683,0.2,-0.06077532097697258,104,0.0001
-1.5121387,0.07804661119875739,50.0,108544,-1.45,0.07804661119875739,-1.5121387,50.0,1.0,108544,,,,,,,,,,,,,,,,,
-1.5593404999999998,0.10827714652894212,50.0,109568,-1.35,0.10827714652894212,-1.5593404999999998,50.0,1.0,109568,,,,,,,,,,,,,,,,,
-1.6416823,0.11698279735845775,50.0,110592,-1.8,0.11698279735845775,-1.6416823,50.0,1.0,110592,,,,,,,,,,,,,,,,,
,,,110592,,,,,,,0.9399999976158142,50.0,174,-1.60723807,27,633,,,,,,,,,,,
-1.5968718,0.19453942984176753,50.0,111616,-1.9,0.19453942984176753,-1.5968718,50.0,1.0,111616,,,,,,,0.9389210939407349,-0.008472945890389383,-5.423424832522869,0.42449408769607544,0.002902794127294328,0.07928466796875,0.009039009,0.2,-0.05053986981511116,108,0.0001
